word,creole_word,creole_name,latlon,acrolect
architect,achitek,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
archive,achiv,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
to buy,achte,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
buyer,achtè,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
"to fawn, to curry favor",achtè figi (achte deye),Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
adhesive tape,adezif,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
adultery,adiltè,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
"to petition, to appeal to",adrese,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
right (direction),adwat,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
slate,adwaz,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
business,afe,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
affection,afeksyon,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
depressed,afese,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
poster,afich,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
to post,afiche,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
because of (as a result of),afòs,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
gluttonous,afre,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
gluttony,afreman,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
pleasent,agreyab,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
silver,ajan,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
agency,ajans,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
silverware,ajantri,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
knell,ajenou,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
adjust,ajiste,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
with,ak,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
drive-in,ak machin,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
